sample,P1,Pinf,Pstep,discount_rate,diesel_price,N_mid,method,delta_lcoe_pct_raw,delta_lcoe_pct_corrected,switch_count,bias_correction_factor
107,3.221731687477656,1.1562373330141575,2.5779647949112627,0.0788055360996711,1.670828795183849,44.79271301334349,full_OnSSET,64.20698888755186,57.85659822412412,3710.0,0.9010950244910345
108,3.136572984357831,1.5305483293389521,2.599515461464251,0.12973825514083068,2.0916998592071687,15.310930081093211,full_OnSSET,52.64305833074976,47.436397935829916,4358.0,0.9010950244910345
109,3.287116173800906,1.370428407709507,2.4284448593335815,0.12235976427970827,2.0146845897733003,39.386753157365376,full_OnSSET,53.30773251276608,48.03533253415247,4417.0,0.9010950244910345
110,3.0609091683462926,1.5176709564413131,2.007968395243043,0.13174613087870954,1.8997735750078963,42.92107713696295,full_OnSSET,19.062671176872513,17.177278150988474,3950.0,0.9010950244910345
111,3.8270508253760402,1.8495733783178874,2.5026845168053806,0.09563538757419707,1.8910228691259425,49.04836363019341,full_OnSSET,68.58026443744775,61.7973350628636,4406.0,0.9010950244910345
112,4.8806334568572325,1.0950805156069212,2.444500949195091,0.0833905287177025,2.1326965825851074,31.996157267888016,full_OnSSET,74.88846307092344,67.48162146498969,4545.0,0.9010950244910345
113,3.26126115971256,1.688117443609312,1.9850250019510374,0.0760540774013018,1.692326241280946,29.14796583189527,full_OnSSET,17.202583698904302,15.501162579473243,3530.0,0.9010950244910345
114,4.647704784320259,1.0474216581376181,2.739132817651697,0.12940849688701572,1.9456876573247341,28.51739062089543,full_OnSSET,81.01832351164241,73.00520820894597,5337.0,0.9010950244910345
115,4.62033515066186,1.8732262943761753,2.8728251047331863,0.07790632574227573,1.5596567855735544,32.16425877542257,full_OnSSET,87.87676609898162,79.18531670015476,4354.0,0.9010950244910345
116,3.203802621646063,1.7017372768802024,2.406610975199618,0.13753234768963324,1.7873706693303328,44.26954230756148,full_OnSSET,49.70155279321353,44.78582193144319,4467.0,0.9010950244910345
117,3.431500868303048,1.4745369571402487,2.8131066479463036,0.10353475600188183,2.2150922244047737,41.05223949687307,full_OnSSET,72.00020154974777,64.87902337882939,4322.0,0.9010950244910345
118,3.209724826742233,1.6243415448088632,2.482026798418927,0.12747583858008615,2.046377482252123,39.5864062557806,full_OnSSET,55.98440183140473,50.44726593938557,4416.0,0.9010950244910345
119,4.554065099814155,1.6776995641780057,2.6624150907022957,0.120418241602534,2.259708562418555,15.010724995444143,full_OnSSET,63.080118627587034,56.8411810396229,5142.0,0.9010950244910345
120,4.8172605500264964,1.9246402915301388,2.37054666751246,0.09099630785807622,1.8062399676051237,14.655786523860062,full_OnSSET,42.95489691385949,38.706443886604085,4657.0,0.9010950244910345
121,4.236948726657544,1.505507958779134,2.175511959444847,0.06318743825739913,2.096250385107575,26.79213795159796,full_OnSSET,42.3879836173278,38.19560113578156,3902.0,0.9010950244910345
